To Convert From	To	Multiply By
inches, cubic	liquid quarts	0.017 316 02
inches, cubic	liters	0.016 387 064
inches, cubic	milliliters	16.387 064
inches, cubic	minims (US)	265.974 0
inches, cubic	pecks	0.001 860 10
inches, square	square centimeters	6.451 600
inches, square	square feet	0.006 944 44
inches, square	square meters	0.000 645 16
inches, square	square yards	0.000 771 605
kilograms	avoirdupois drams	564.383 4
kilograms	avoirdupois ounces	35.273 962
kilograms	avoirdupois pounds	2.204 622 622
kilograms	grains	15,432.36
kilograms	grams	1,000
kilograms	long tons	0.000 984 2
kilograms	metric tons	0.001
kilograms	short hundredweights	0.022 046 23
kilograms	short tons	0.001 102 31
kilograms	troy ounces	32.150 75
kilograms	troy pounds	2.679 229
kilometers	meters	1,000
kilometers	statute miles	0.621 371 192
kilometers, square	acres	247.105 38
kilometers, square	hectares	100
kilometers, square	square meters	1,000,000
kilometers, square	statute miles	0.386 102 16
knots (nautical mi/hr)	kilometers/hour	1.852
knots (nautical mi/hr)	statute miles/hour	1.151
leagues, nautical	kilometers	5.556
leagues, nautical	nautical miles	3
leagues, statute	kilometers	4.828 032
leagues, statute	statute miles	3
links, square surveyor's	square centimeters	404.686
links, square surveyor's	square inches	62.726 4
links, surveyor's	centimeters	20.116 8
links, surveyor's	chains	0.01
links, surveyor's	inches	7.92
liters	bushels	0.028 377 59
liters	cubic feet	0.035 314 67
liters	cubic inches	61.023 74
liters	cubic meters	0.001
liters	cubic yards	0.001 307 95
liters	dekaliters	0.1
liters	dry pints	1.816 166
liters	dry quarts	0.908 082 98
liters	gallons	0.264 172 052
liters	gills (US)	8.453 506
liters	liquid ounces	33.814 02
liters	liquid pints	2.113 376
liters	liquid quarts	1.056 688 2
liters	milliliters	1,000
liters	pecks	0.113 510 4
meters	centimeters	100
meters	feet	3.280 839 895
meters	inches	39.370 079
meters	kilometers	0.001
meters	millimeters	1,000
meters	statute miles	0.000 621 371
meters	yards	1.093 613 298
meters, cubic	bushels	28.377 59
meters, cubic	cubic feet	35.314 666 7
meters, cubic	cubic inches	61,023.744
meters, cubic	cubic yards	1.307 950 619
meters, cubic	gallons	264.172 05
meters, cubic	liters	1,000
meters, cubic	pecks	113.510 4
meters, square	acres	0.000 247 105 38
meters, square	hectares	0.000 1
meters, square	square centimeters	10,000
meters, square	square feet	10.763 910 4
meters, square	square inches	1,550.003 1
meters, square	square yards	1.195 990 046
microns	meters	0.000 001
microns	inches	0.000 039 4
mils	inches	0.001
mils	millimeters	0.025 4
miles, nautical	kilometers	1.852 0
miles, nautical	statute miles	1.150 779 4
miles, statute	centimeters	160,934.4
miles, statute	feet	5,280
miles, statute	furlongs	8
miles, statute	inches	63,360
miles, statute	kilometers	1.609 344
miles, statute	meters	1,609.344
miles, statute	rods	320
miles, statute	yards	1,760
miles, square nautical	square kilometers	3.429 904
miles, square nautical	square statute miles	1.325
miles, square statute	acres	640
miles, square statute	hectares	258.998 811 033 6
miles, square statute	sections	1
miles, square statute	square kilometers	2.589 988 110 336
miles, square statute	square nautical miles	0.755 miles
miles, square statute	square rods	102,400
milligrams	grains	0.015 432 358 35
milliliters	cubic inches	0.061 023 744
milliliters	gallons	0.000 264 17
milliliters	gills (US)	0.008 453 5
milliliters	liquid ounces	0.033 814 02
milliliters	liquid pints	0.002 113 4
milliliters	liquid quarts	0.001 056 7
milliliters	liters	0.001
milliliters	minims	16.230 73
millimeters	inches	0.039 370 078 7
minims (US)	cubic inches	0.003 759 77
minims (US)	gills (US)	0.000 520 83
minims (US)	liquid ounces	0.002 083 33
minims (US)	milliliters	0.061 611 52
minims (US)	minims (British)	1.041
ounces, avoirdupois	avoirdupois drams	16
ounces, avoirdupois	avoirdupois pounds	0.062 5
ounces, avoirdupois	grains	437.5
ounces, avoirdupois	grams	28.349 523 125
ounces, avoirdupois	kilograms	0.028 349 523 125
ounces, avoirdupois	troy ounces	0.911 458 3
ounces, avoirdupois	troy pounds	0.075 954 86
ounces, liquid (US)	cubic feet	0.001 044 38
ounces, liquid (US)	centiliters	2.957 35
ounces, liquid (US)	cubic inches	1.804 687 5
ounces, liquid (US)	gallons	0.007 812 5
ounces, liquid (US)	gills (US)	0.25
ounces, liquid (US)	liquid drams	8
ounces, liquid (US)	liquid ounces (British)	1.041
ounces, liquid (US)	liquid pints	0.062 5
ounces, liquid (US)	liquid quarts	0.031 25
ounces, liquid (US)	liters	0.029 573 53
ounces, liquid (US)	milliliters	29.573 529 6
ounces, liquid (US)	minims	480
ounces, troy	avoirdupois drams	17.554 29
ounces, troy	avoirdupois ounces	1.097 143
ounces, troy	avoirdupois pounds	0.068 571 43
ounces, troy	grains	480
ounces, troy	grams	31.103 476 8
ounces, troy	pennyweights	20
ounces, troy	troy drams	8
ounces, troy	troy pounds	0.083 333 3
paces (US)	centimeters	76.2
paces (US)	inches	30
pecks (US)	bushels	0.25
pecks (US)	cubic feet	0.311 114
pecks (US)	cubic inches	537.605
pecks (US)	cubic meters	0.008 809 77
pecks (US)	cubic yards	0.011 522 74
pecks (US)	dekaliters	0.880 976 75
pecks (US)	dry pints	16
pecks (US)	dry quarts	8
pecks (US)	liters	8.809 767 5
pecks (US)	pecks (British)	0.968 9
pennyweights	grains	24
pennyweights	grams	1.555 200 84
pennyweights	troy ounces	0.05
pints, dry (US)	bushels	0.015 625
pints, dry (US)	cubic feet	0.019 444 63
pints, dry (US)	cubic inches	33.600 312 5
pints, dry (US)	dekaliters	0.055 061 05
pints, dry (US)	dry pints (British)	0.968 9
pints, dry (US)	dry quarts	0.5
pints, dry (US)	liters	0.550 610 47
pints, liquid (US)	cubic feet	0.016 710 07
pints, liquid (US)	cubic inches	28.875
pints, liquid (US)	deciliters	4.731 76
pints, liquid (US)	gallons	0.125
pints, liquid (US)	gills (US)	4
pints, liquid (US)	liquid ounces	16
pints, liquid (US)	liquid pints (British)	0.832 67
pints, liquid (US)	liquid quarts	0.5
pints, liquid (US)	liters	0.473 176 473
pints, liquid (US)	milliliters	473.176 473
pints, liquid (US)	minims	7,680
points (typographical)	inches	0.013 837
points (typographical)	millimeters	0.351 459 8
pounds, avoirdupois	avoirdupois drams	256
pounds, avoirdupois	avoirdupois ounces	16
pounds, avoirdupois	grains	7,000
pounds, avoirdupois	grams	453.592 37
pounds, avoirdupois	kilograms	0.453 592 37
pounds, avoirdupois	long tons	0.000 446 428 6
pounds, avoirdupois	metric tons	0.000 453 592 37
pounds, avoirdupois	quintals	0.004 535 92
pounds, avoirdupois	short tons	0.000 5
pounds, avoirdupois	troy ounces	14.583 33
pounds, avoirdupois	troy pounds	1.215 278
pounds, troy	avoirdupois drams	210.651 4
pounds, troy	avoirdupois ounces	13.165 71
pounds, troy	avoirdupois pounds	0.822 857 1
pounds, troy	grains	5,760
pounds, troy	grams	373.241 721 6
pounds, troy	kilograms	0.373 241 721 6
pounds, troy	pennyweights	240
pounds, troy	troy ounces	12
quarts, dry (US)	bushels	0.031 25
quarts, dry (US)	cubic feet	0.038 889 25
quarts, dry (US)	cubic inches	67.200 625
quarts, dry (US)	dekaliters	0.110 122 1
quarts, dry (US)	dry pints	2
quarts, dry (US)	dry quarts (British)	0.968 9
quarts, dry (US)	liters	1.101 221
quarts, dry (US)	pecks	0.125
quarts, dry (US)	pints, dry (US)	2
quarts, liquid (US)	cubic feet	0.033 420 14
quarts, liquid (US)	cubic inches	57.75
quarts, liquid (US)	deciliters	9.463 53
quarts, liquid (US)	gallons	0.25
quarts, liquid (US)	gills (US)	8
quarts, liquid (US)	liquid ounces	32
quarts, liquid (US)	liquid pints (US)	2
quarts, liquid (US)	liquid quarts (British)	0.832 67
quarts, liquid (US)	liters	0.946 352 946
quarts, liquid (US)	milliliters	946.352 946
quarts, liquid (US)	minims	15,360
quintals	avoirdupois pounds	220.462 26
quintals	kilograms	100
quintals	metric tons	0.1
rods	feet	16.5
rods	meters	5.029 2
rods	yards	5.5
rods, square	acres	0.006 25
rods, square	square meters	25.292 85
rods, square	square yards	30.25
scruples	grains	20
scruples	grams	1.295 978 2
scruples	troy drams	0.333
sections (US)	square kilometers	2.589 988 1
sections (US)	square statute miles	1
spans	centimeters	22.86
spans	inches	9
steres	cubic meters	1
steres	cubic yards	1.307 95
tablespoons	milliliters	14.786 76
tablespoons	teaspoons	3
teaspoons	milliliters	4.928 922
teaspoons	tablespoons	0.333 333
ton-miles, long	metric ton-kilometers	1.635 169
ton-miles, short	metric ton-kilometers	1.459 972
tons, gross register	cubic feet of permanently enclosed space	100
tons, gross register	cubic meters of permanently enclosed space	2.831 684 7
tons, long (deadweight)	avoirdupois ounces	35,840
tons, long (deadweight)	avoirdupois pounds	2,240
tons, long (deadweight)	kilograms	1,016.046 909 8
tons, long (deadweight)	long hundredweights	20
tons, long (deadweight)	metric tons	1.016 046 908 8
tons, long (deadweight)	short hundredweights	22.4
tons, long (deadweight)	short tons	1.12
tons, metric	avoirdupois pounds	2,204.623
tons, metric	kilograms	1,000
tons, metric	long hundredweights	19.684 130 3
tons, metric	long tons	0.984 206 5
tons, metric	quintals	10
tons, metric	short hundredweights	22.046 23
tons, metric	short tons	1.102 311 3
tons, metric	troy ounces	32,150.75
tons, net register	cubic feet of permanently enclosed space 
for cargo and passengers	100
tons, net register	cubic meters of permanently enclosed space 
for cargo and passengers	2.831 684 7
tons, shipping	cubic feet of permanently enclosed cargo space	42
tons, shipping	cubic meters of permanently enclosed cargo space	1.189 307 574
tons, short	avoirdupois pounds	2,000
tons, short	kilograms	907.184 74
tons, short	long hundredweights	17.857 14
tons, short	long tons	0.892 857 1
tons, short	metric tons	0.907 184 74
tons, short	short hundredweights	20
townships (US)	sections	36
townships (US)	square kilometers	93.239 572
townships (US)	square statute miles	36
miles, square statute	acres	640
miles, square statute	hectares	258.998 811 033 6
miles, square statute	square feet	27,878,400
miles, square statute	square meters	2,589,988.110 336
miles, square statute	square yards	3,097,600
yards	centimeters	91.44
yards	feet	3
yards	inches	36
yards	meters	0.914 4
yards	miles	0.000 568 18
yards, cubic	bushels	21.696 227
yards, cubic	cubic feet	27
yards, cubic	cubic inches	46,656
yards, cubic	cubic meters	0.764 554 857 984
yards, cubic	gallons	201.974 0
yards, cubic	liters	764.554 857 984
yards, cubic	pecks	86.784 91
yards, square	acres	0.000 206 611 6
yards, square	hectares	0.000 083 612 736
yards, square	square centimeters	8,361.273 6
yards, square	square feet	9
yards, square	square inches	1,296
yards, square	square meters	0.836 127 36
yards, square	square miles	0.000 000 322 830 6
